ALDM_Entity,ALDM_Attribute,ALDM_DataType,ALDM_Description,MySQL_Table,MySQL_Column,MySQL_DataType,MySQL_Description,Mapping_Type,Mapping_Notes
Party,party_id,string,"Unique identifier for the party",party,party_id,VARCHAR(36),"Unique identifier for the party (UUID)",Direct,"Primary key mapping with UUID implementation"
Party,party_name,string,"The name of the party as it is known in business",party,party_name,VARCHAR(255),"The name of the party as it is known in business",Direct,"Exact mapping with MySQL VARCHAR type"
Party,party_type,string,"Type of party (Person or Organization)",party,party_type,ENUM('Person', 'Organization'),"Type of party (Person or Organization)",Direct,"ALDM string mapped to MySQL ENUM for data validation"
Party,party_date_time,datetime,"Date and time when the party record was created",party,party_date_time,DATETIME,"Date and time when the party record was created",Direct,"Exact mapping with MySQL DATETIME type"
Party,status,string,"Current status of the party",party,status,ENUM('Active', 'Inactive', 'Merged', 'Deleted'),"Current status of the party",Direct,"ALDM string mapped to MySQL ENUM for data validation"
Party,data_source_system,string,"System where this party data originated",party,data_source_system,VARCHAR(100),"System where this party data originated",Direct,"Exact mapping with MySQL VARCHAR type"
Party,data_source_id,string,"ID of this party in the source system",party,data_source_id,VARCHAR(100),"ID of this party in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
Party,is_golden_record,boolean,"Flag indicating if this is the golden record",party,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
Party,data_quality_score,decimal,"Calculated data quality score from 0-100",party,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
Party,confidence_score,decimal,"Confidence level in the correctness of this record",party,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
Party,last_verified_date,date,"Date when this record was last verified",party,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
Party,party_identification,string,"A general identification for the party (e.g., TaxID)",party,party_identification,VARCHAR(100),"A general identification for the party (e.g., TaxID)",Direct,"Exact mapping with MySQL VARCHAR type"
Party,data_steward_id,string,"ID of the data steward responsible for this party",party,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this party",Direct,"Exact mapping with MySQL VARCHAR type"
Party,created_at,datetime,"Date and time when this record was created",party,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Party,created_by,string,"User who created this record",party,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
Party,updated_at,datetime,"Date and time when this record was last updated",party,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Party,updated_by,string,"User who last updated this record",party,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
Party,deleted_at,datetime,"Date and time when this record was marked as deleted",party,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Person,party_id,string,"Foreign key to the Party entity",person,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
Person,first_name,string,"First name of the person",person,first_name,VARCHAR(100),"First name of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,middle_name,string,"Middle name of the person",person,middle_name,VARCHAR(100),"Middle name of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,last_name,string,"Last name of the person",person,last_name,VARCHAR(100),"Last name of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,given_name,string,"Given name of the person (if different from first name)",person,given_name,VARCHAR(100),"Given name of the person (if different from first name)",Direct,"Exact mapping with MySQL VARCHAR type"
Person,family_name,string,"Family name of the person (if different from last name)",person,family_name,VARCHAR(100),"Family name of the person (if different from last name)",Direct,"Exact mapping with MySQL VARCHAR type"
Person,birth_date,date,"Date of birth",person,birth_date,DATE,"Date of birth",Direct,"Exact mapping with MySQL DATE type"
Person,gender,string,"Gender of the person",person,gender,ENUM('Male', 'Female', 'Other', 'Prefer not to say'),"Gender of the person",Direct,"ALDM string mapped to MySQL ENUM for data validation"
Person,marital_status,string,"Marital status of the person",person,marital_status,ENUM('Single', 'Married', 'Divorced', 'Widowed', 'Separated', 'Other'),"Marital status of the person",Direct,"ALDM string mapped to MySQL ENUM for data validation"
Person,nationality,string,"Nationality of the person",person,nationality,VARCHAR(100),"Nationality of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,residence_country,string,"Country of residence",person,residence_country,VARCHAR(100),"Country of residence",Direct,"Exact mapping with MySQL VARCHAR type"
Person,ethnicity,string,"Ethnicity of the person",person,ethnicity,VARCHAR(100),"Ethnicity of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,religion,string,"Religion of the person",person,religion,VARCHAR(100),"Religion of the person",Direct,"Exact mapping with MySQL VARCHAR type"
Person,preferred_language,string,"Preferred language for communication",person,preferred_language,VARCHAR(50),"Preferred language for communication",Direct,"Exact mapping with MySQL VARCHAR type"
Person,residential_status,string,"Residential status in the country of residence",person,residential_status,VARCHAR(100),"Residential status in the country of residence",Direct,"Exact mapping with MySQL VARCHAR type"
Person,created_at,datetime,"Date and time when this record was created",person,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Person,updated_at,datetime,"Date and time when this record was last updated",person,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Person,deleted_at,datetime,"Date and time when this record was marked as deleted",person,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Organization,party_id,string,"Unique identifier for the organization",organization,party_id,VARCHAR(36),"Unique identifier for the organization",Direct,"Primary key mapping with UUID implementation"
Organization,organization_name,string,"The name of the organization",organization,organization_name,VARCHAR(255),"The name of the organization",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,organization_type,string,"Type of organization",organization,organization_type,ENUM('Company', 'Government', 'Non-Profit', 'Educational', 'Other'),"Type of organization",Direct,"ALDM string mapped to MySQL ENUM for data validation"
Organization,industry,string,"Industry of the organization",organization,industry,VARCHAR(100),"Industry of the organization",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,data_source_system,string,"System where this organization data originated",organization,data_source_system,VARCHAR(100),"System where this organization data originated",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,data_source_id,string,"ID of this organization in the source system",organization,data_source_id,VARCHAR(100),"ID of this organization in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,is_golden_record,boolean,"Flag indicating if this is the golden record",organization,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
Organization,data_quality_score,decimal,"Calculated data quality score from 0-100",organization,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
Organization,confidence_score,decimal,"Confidence level in the correctness of this record",organization,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
Organization,last_verified_date,date,"Date when this record was last verified",organization,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
Organization,data_steward_id,string,"ID of the data steward responsible for this organization",organization,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this organization",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,created_at,datetime,"Date and time when this record was created",organization,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Organization,created_by,string,"User who created this record",organization,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,updated_at,datetime,"Date and time when this record was last updated",organization,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
Organization,updated_by,string,"User who last updated this record",organization,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
Organization,deleted_at,datetime,"Date and time when this record was marked as deleted",organization,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyIdentification,party_id,string,"Foreign key to the Party entity",party_identification,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
PartyIdentification,identification_type,string,"Type of identification",party_identification,identification_type,ENUM('TaxID', 'Passport', 'DriverLicense', 'Other'),"Type of identification",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyIdentification,identification_value,string,"Value of the identification",party_identification,identification_value,VARCHAR(255),"Value of the identification",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,data_source_system,string,"System where this identification data originated",party_identification,data_source_system,VARCHAR(100),"System where this identification data originated",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,data_source_id,string,"ID of this identification in the source system",party_identification,data_source_id,VARCHAR(100),"ID of this identification in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,is_golden_record,boolean,"Flag indicating if this is the golden record",party_identification,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
PartyIdentification,data_quality_score,decimal,"Calculated data quality score from 0-100",party_identification,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
PartyIdentification,confidence_score,decimal,"Confidence level in the correctness of this record",party_identification,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
PartyIdentification,last_verified_date,date,"Date when this record was last verified",party_identification,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
PartyIdentification,data_steward_id,string,"ID of the data steward responsible for this identification",party_identification,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this identification",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,created_at,datetime,"Date and time when this record was created",party_identification,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyIdentification,created_by,string,"User who created this record",party_identification,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,updated_at,datetime,"Date and time when this record was last updated",party_identification,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyIdentification,updated_by,string,"User who last updated this record",party_identification,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyIdentification,deleted_at,datetime,"Date and time when this record was marked as deleted",party_identification,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyLocation,party_id,string,"Foreign key to the Party entity",party_location,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
PartyLocation,location_type,string,"Type of location",party_location,location_type,ENUM('Physical', 'Postal', 'Electronic', 'Other'),"Type of location",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyLocation,location_value,string,"Value of the location",party_location,location_value,TEXT,"Value of the location",Direct,"ALDM string mapped to MySQL TEXT for longer location values"
PartyLocation,data_source_system,string,"System where this location data originated",party_location,data_source_system,VARCHAR(100),"System where this location data originated",Direct,"Exact mapping with MySQL VARCHAR type"
PartyLocation,data_source_id,string,"ID of this location in the source system",party_location,data_source_id,VARCHAR(100),"ID of this location in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
PartyLocation,is_golden_record,boolean,"Flag indicating if this is the golden record",party_location,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
